row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ112524,3,0x0000c000,0x0d0dedd3,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112525,3,0x0000c000,0x0d0deee0,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112526,3,0x0000c000,0x0d0df996,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112527,3,0x0000c000,0x0d0dfdd2,8796093022208,48,"8796093022208/2^48","134217728"
FQ112528,3,0x0000c000,0x0e0e1110,8796093022208,48,"8796093022208/2^48","134217728"
FQ112529,3,0x0000c000,0x0e0e1554,8796093022208,48,"8796093022208/2^48","134217728"
FQ112530,3,0x0000c000,0x0e0e1bba,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112531,3,0x0000c000,0x0e0e1ccd,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112532,3,0x0000c000,0x0e0e1eef,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112533,3,0x0000c000,0x0e0e2664,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112534,3,0x0000c000,0x0e0e2cce,8796093022208,48,"8796093022208/2^48","134217728"
FQ112535,3,0x0000c000,0x0e0e3330,8796093022208,48,"8796093022208/2^48","134217728"
FQ112536,3,0x0000c000,0x0e0e3665,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112537,3,0x0000c000,0x0e0e399a,8796093022208,48,"8796093022208/2^48","134217728"
FQ112538,3,0x0000c000,0x0e0e3ccf,8796093022208,48,"8796093022208/2^48","134217728"
FQ112539,3,0x0000c000,0x0e0e3dde,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112540,3,0x0000c000,0x0e0e5114,8796093022208,48,"8796093022208/2^48","134217728"
FQ112541,3,0x0000c000,0x0e0e5550,8796093022208,48,"8796093022208/2^48","134217728"
FQ112542,3,0x0000c000,0x0e0e5bbe,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112543,3,0x0000c000,0x0e0e5cc9,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112544,3,0x0000c000,0x0e0e5eeb,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112545,3,0x0000c000,0x0e0e6224,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112546,3,0x0000c000,0x0e0e6335,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112547,3,0x0000c000,0x0e0e6aac,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112548,3,0x0000c000,0x0e0e6bbd,8796093022208,48,"8796093022208/2^48","134217728"
FQ112549,3,0x0000c000,0x0e0e933a,8796093022208,48,"8796093022208/2^48","134217728"
FQ112550,3,0x0000c000,0x0e0e9990,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112551,3,0x0000c000,0x0e0e9cc5,8796093022208,48,"8796093022208/2^48","134217728"
FQ112552,3,0x0000c000,0x0e0e9dd4,8796093022208,48,"8796093022208/2^48","134217728"
FQ112553,3,0x0000c000,0x0e0e9ee7,8796093022208,48,"8796093022208/2^48","134217728"
FQ112554,3,0x0000c000,0x0e0ea66c,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112555,3,0x0000c000,0x0e0eacc6,8796093022208,48,"8796093022208/2^48","134217728"
FQ112556,3,0x0000c000,0x0e0eb11a,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112557,3,0x0000c000,0x0e0eb55e,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112558,3,0x0000c000,0x0e0eb66d,8796093022208,48,"8796093022208/2^48","134217728"
