path,round,active_nibbles,generation_command,beam,trans,branch,certified_only,row_count,sha256,used_in_final_submit
experiments/r2_active2_batch_3000_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,501,880d85ae6dc0ba46c3d6c4c66369a94da139b4e4bec781d0e0f9307a2f61d3f9,1
experiments/r2_active2_batch_300_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,692,de04ffbddaba52746da311bed344fff8f87aeff3fccb40b88881e948b8b37da0,1
experiments/r2_active2_batch_3100_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,318,bce83474ca5891ec28995baf34f81b4f65af477a0c36d84b0ada339b2ae41b29,1
experiments/r2_active2_batch_3200_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,525,2d7d30bba42a8333c049fe7eac504db7582739760b01082d38e66d004d823bb1,1
experiments/r2_active2_batch_3300_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,1631,b841857ede12c7320adcf0664ffeb3acc3a220f99e2208d8d86c38156e0f02ca,1
experiments/r2_active2_batch_3400_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,2654,e9c103c07de62bd396f27038346e8d4cd4fa53487958af1f7011000a6694ae99,1
experiments/r2_active2_batch_3500_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,2658,4832ca71305ceb53dbebac7efaf2ebb3bd001c2e39bec5162e5d9fde1e5af75f,1
experiments/r2_active2_batch_3600_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,1796,457294cbc3fc09bc92a197433604092e7560dcd4b7dae28fbe2681f6bdfad338,1
experiments/r2_active2_batch_3700_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,2152,31284e92e73f9a10c428da1f20160db5e91929deaf72aec483cd9860ff598b33,1
experiments/r2_active2_batch_3800_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,395,368f3dff0fe7548588950eccf632f3f1bdb8c023020e77925cdd98cc3a4fd7a3,1
experiments/r2_active2_batch_3900_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,424,211b2bbebb92cece2110307efae81ac04fe95530195ef7c009ad5145327f9136,1
experiments/r2_active2_batch_4000_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,2334,c4e89fa68afebd8b94a31eb582af32910ce45ab92510ade56c798962fe8e8709,1
experiments/r2_active2_batch_400_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,1171,5974795f91e97291662583c461d3a99d1fb66f232e1c2fd6118cbf41c9e9aa30,1
experiments/r2_active2_batch_4100_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,1216,1cc599ee9322ec63fd54bce95b9e541fc7ac64b02d088d79026af26189ba0d0f,1
experiments/r2_active2_batch_4200_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,619,044e8c1dd42cf832e2148f2d6c80d48764bfb2893a28025454e4860f789e6741,1
experiments/r2_active2_batch_4300_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,860,630c53833ed229e88439fce3eb662897e1d654d3dbae8e49601bb080377c36f5,1
experiments/r2_active2_batch_4400_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,649,96c497ce3dddfe1b2f52c2c267e05657841a0b4e5205e0c37565a133ed0b758d,1
experiments/r2_active2_batch_4500_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,783,f9071dab6df0de755ba2b68e96f81611921afefcd86f0cff84514832b5c358a6,1
