row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ138196,3,0xf0000000,0xc8840e0e,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138197,3,0xf0000000,0xc9950b0b,8796093022208,48,"8796093022208/2^48","134217728"
FQ138198,3,0xf0000000,0xc9950c0c,8796093022208,48,"8796093022208/2^48","134217728"
FQ138199,3,0xf0000000,0xcaa60c0c,17592186044416,48,"17592186044416/2^48","268435456"
FQ138200,3,0xf0000000,0xcbb70101,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138201,3,0xf0000000,0xcbb70202,13194139533312,48,"13194139533312/2^48","201326592"
FQ138202,3,0xf0000000,0xcbb70505,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138203,3,0xf0000000,0xcbb70606,8796093022208,48,"8796093022208/2^48","134217728"
FQ138204,3,0xf0000000,0xcbb70808,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138205,3,0xf0000000,0xcbb70909,8796093022208,48,"8796093022208/2^48","134217728"
FQ138206,3,0xf0000000,0xcbb70b0b,-17592186044416,48,"-17592186044416/2^48","-268435456"
FQ138207,3,0xf0000000,0xcbb70c0c,-17592186044416,48,"-17592186044416/2^48","-268435456"
FQ138208,3,0xf0000000,0xcbb70d0d,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138209,3,0xf0000000,0xcbb70e0e,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138210,3,0xf0000000,0xccc00101,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138211,3,0xf0000000,0xccc00505,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138212,3,0xf0000000,0xccc00606,8796093022208,48,"8796093022208/2^48","134217728"
FQ138213,3,0xf0000000,0xccc00707,8796093022208,48,"8796093022208/2^48","134217728"
FQ138214,3,0xf0000000,0xccc00808,17592186044416,48,"17592186044416/2^48","268435456"
FQ138215,3,0xf0000000,0xccc00909,8796093022208,48,"8796093022208/2^48","134217728"
FQ138216,3,0xf0000000,0xccc00a0a,17592186044416,48,"17592186044416/2^48","268435456"
FQ138217,3,0xf0000000,0xccc00b0b,-17592186044416,48,"-17592186044416/2^48","-268435456"
FQ138218,3,0xf0000000,0xccc00c0c,-17592186044416,48,"-17592186044416/2^48","-268435456"
FQ138219,3,0xf0000000,0xccc00d0d,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138220,3,0xf0000000,0xccc00e0e,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138221,3,0xf0000000,0xccc00f0f,8796093022208,48,"8796093022208/2^48","134217728"
FQ138222,3,0xf0000000,0xcdd10b0b,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138223,3,0xf0000000,0xcdd10c0c,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138224,3,0xf0000000,0xcee20202,8796093022208,48,"8796093022208/2^48","134217728"
FQ138225,3,0xf0000000,0xcee20808,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138226,3,0xf0000000,0xcee20b0b,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138227,3,0xf0000000,0xcee20c0c,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138228,3,0xf0000000,0xcff30c0c,8796093022208,48,"8796093022208/2^48","134217728"
