row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ129413,3,0x00f00000,0xedd3090d,4947802324992,48,"4947802324992/2^48","75497472"
FQ129414,3,0x00f00000,0xeee00104,-4672924418048,48,"-4672924418048/2^48","-71303168"
FQ129415,3,0x00f00000,0xeee00904,-4672924418048,48,"-4672924418048/2^48","-71303168"
FQ129416,3,0x00f00000,0xf11e0105,-4672924418048,48,"-4672924418048/2^48","-71303168"
FQ129417,3,0x00f00000,0xf11e0f05,-4672924418048,48,"-4672924418048/2^48","-71303168"
FQ129418,3,0x00f00000,0xf44b0b0e,-4672924418048,48,"-4672924418048/2^48","-71303168"
FQ129419,3,0x00f00000,0xf55a0501,-4672924418048,48,"-4672924418048/2^48","-71303168"
FQ129420,3,0x00f00000,0xf55a0b01,-4672924418048,48,"-4672924418048/2^48","-71303168"
FQ129421,3,0x00f00000,0xf7780807,4947802324992,48,"4947802324992/2^48","75497472"
FQ129422,3,0x00f00000,0xfee10104,-4672924418048,48,"-4672924418048/2^48","-71303168"
