n_nibbles,rounds,u,v,exact,dp,abs_err,rel_err,match,sign_flip_suspect,transpose_like_suspect
4,1,0x44cb,0x6935,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xda28,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x1cbc,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xf652,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xbabe,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x6651,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xd3a9,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xf848,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xb6ad,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xd42f,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xb131,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x00cf,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xa98a,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xea92,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x0e52,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x758e,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x5abb,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x5c8f,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x2ee6,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x82b5,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x109e,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x2412,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x2a9d,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x088b,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xe7ef,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x0774,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x8ff9,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x7fc6,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x898b,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x380e,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x5e85,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xb058,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x94a0,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x2397,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x55be,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x51ba,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x82ab,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x5617,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x8bbb,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x96c7,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xe8ce,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xa4dd,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xfe34,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xf292,0.0625,0.0625,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x3a77,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x0c19,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x9fbf,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xc5ea,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xafca,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xd782,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x6046,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x844f,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x37af,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x81c5,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x6b0d,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xdd01,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x0aa8,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x7364,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x0925,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xcb6c,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x4afd,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x1216,0,0,0.000000e+00,0.000000e+00,1,0,0
