run_id,implementation,r,Q,unique_u,unique_v,domain_start,domain_end,plaintext_count,threads,wall_seconds,user_cpu_seconds,system_cpu_seconds,peak_rss_kib,logical_query_updates,query_updates_per_second,plaintexts_per_second,u_parity_evaluations,v_parity_evaluations,permutation_evaluations,program_commit,program_sha256,input_sha256,output_sha256,exit_status
r2-q8-n65536-grouped_uv-rep1,grouped_uv,2,8,8,8,0,65536,65536,2,0.006912353,0.00,0.00,3968,524288,75847978.437495410,9480997.304686926,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,3db8471c84fdf4eae24dc456329f9c987ab3358b102163c77825d99db674dcf7,686ba922985525f9f7853f0bba05fc8995814f0a54237d72d41105a0613b5065,0b2b25860f419bc2ef32a2fb979eba16d13ba38cc65d469860b6526a9bb7e822,0
r2-q8-n65536-current-rep2,current,2,8,8,8,0,65536,65536,2,0.004441081,0.00,0.00,3840,524288,118054139.827257752,14756767.478407219,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,6cc285f46ebfc01ec13b264ce3e7423656cd17d58f72a83dfbf9647dea0e3bb4,686ba922985525f9f7853f0bba05fc8995814f0a54237d72d41105a0613b5065,4cc39b87f29316dc286d9e4050fffd822175ea3178109191a0634d37452d3827,0
r2-q8-n65536-grouped_u-rep2,grouped_u,2,8,8,8,0,65536,65536,2,0.004770917,0.00,0.00,3840,524288,109892500.679763988,13736562.584970498,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,73eb22745e9e2b2df67d7dfae8509a3cb7231ef8099d203f43d2467da86df566,686ba922985525f9f7853f0bba05fc8995814f0a54237d72d41105a0613b5065,5f9ad5449f74d2fa1cacb1a8a303d857b5fe110cd881d477dcaa896266b1482e,0
r2-q8-n65536-grouped_uv-rep2,grouped_uv,2,8,8,8,0,65536,65536,2,0.006289325,0.00,0.00,3968,524288,83361569.590803355,10420196.198850419,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,3db8471c84fdf4eae24dc456329f9c987ab3358b102163c77825d99db674dcf7,686ba922985525f9f7853f0bba05fc8995814f0a54237d72d41105a0613b5065,0b2b25860f419bc2ef32a2fb979eba16d13ba38cc65d469860b6526a9bb7e822,0
r2-q8-n65536-current-rep3,current,2,8,8,8,0,65536,65536,2,0.004914682,0.00,0.00,3840,524288,106677908.969988793,13334738.621248599,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,6cc285f46ebfc01ec13b264ce3e7423656cd17d58f72a83dfbf9647dea0e3bb4,686ba922985525f9f7853f0bba05fc8995814f0a54237d72d41105a0613b5065,4cc39b87f29316dc286d9e4050fffd822175ea3178109191a0634d37452d3827,0
r2-q8-n65536-grouped_u-rep3,grouped_u,2,8,8,8,0,65536,65536,2,0.005350033,0.00,0.00,3840,524288,97997152.615650564,12249644.076956321,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,73eb22745e9e2b2df67d7dfae8509a3cb7231ef8099d203f43d2467da86df566,686ba922985525f9f7853f0bba05fc8995814f0a54237d72d41105a0613b5065,5f9ad5449f74d2fa1cacb1a8a303d857b5fe110cd881d477dcaa896266b1482e,0
r2-q8-n65536-grouped_uv-rep3,grouped_uv,2,8,8,8,0,65536,65536,2,0.007005473,0.00,0.00,3968,524288,74839771.525147885,9354971.440643486,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,3db8471c84fdf4eae24dc456329f9c987ab3358b102163c77825d99db674dcf7,686ba922985525f9f7853f0bba05fc8995814f0a54237d72d41105a0613b5065,0b2b25860f419bc2ef32a2fb979eba16d13ba38cc65d469860b6526a9bb7e822,0
r3-q8-n65536-current-rep1,current,3,8,8,8,0,65536,65536,2,0.006716363,0.00,0.00,3968,524288,78061296.467628047,9757662.058453506,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,6cc285f46ebfc01ec13b264ce3e7423656cd17d58f72a83dfbf9647dea0e3bb4,355fa9f0aa604e8493c666071e5117b9c5e0e28987af02303e8cf7b07432fb3a,75fac9282744428e006ad473ed911f0df7d38b4427cbc6470c3b64155a0f6a8c,0
r3-q8-n65536-grouped_u-rep1,grouped_u,3,8,8,8,0,65536,65536,2,0.006488864,0.00,0.00,3968,524288,80798118.617383540,10099764.827172942,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,73eb22745e9e2b2df67d7dfae8509a3cb7231ef8099d203f43d2467da86df566,355fa9f0aa604e8493c666071e5117b9c5e0e28987af02303e8cf7b07432fb3a,1cdbb9dc1a160cdbad4c893c91a245381304a72692ecad56879748d4ca0e749f,0
r3-q8-n65536-grouped_uv-rep1,grouped_uv,3,8,8,8,0,65536,65536,2,0.007678300,0.00,0.00,3968,524288,68281780.893342704,8535222.611667838,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,3db8471c84fdf4eae24dc456329f9c987ab3358b102163c77825d99db674dcf7,355fa9f0aa604e8493c666071e5117b9c5e0e28987af02303e8cf7b07432fb3a,bb93fb9f894a9ee6e9d9884314228981f97d86aa6e3c352bcb3b36e21fea8448,0
r3-q8-n65536-current-rep2,current,3,8,8,8,0,65536,65536,2,0.006660843,0.00,0.00,3968,524288,78711958.415601626,9838994.801950203,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,6cc285f46ebfc01ec13b264ce3e7423656cd17d58f72a83dfbf9647dea0e3bb4,355fa9f0aa604e8493c666071e5117b9c5e0e28987af02303e8cf7b07432fb3a,75fac9282744428e006ad473ed911f0df7d38b4427cbc6470c3b64155a0f6a8c,0
r3-q8-n65536-grouped_u-rep2,grouped_u,3,8,8,8,0,65536,65536,2,0.006600003,0.00,0.00,3968,524288,79437539.056912258,9929692.382114032,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,73eb22745e9e2b2df67d7dfae8509a3cb7231ef8099d203f43d2467da86df566,355fa9f0aa604e8493c666071e5117b9c5e0e28987af02303e8cf7b07432fb3a,1cdbb9dc1a160cdbad4c893c91a245381304a72692ecad56879748d4ca0e749f,0
r3-q8-n65536-grouped_uv-rep2,grouped_uv,3,8,8,8,0,65536,65536,2,0.009168022,0.00,0.00,3968,524288,57186599.114669137,7148324.889333642,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,3db8471c84fdf4eae24dc456329f9c987ab3358b102163c77825d99db674dcf7,355fa9f0aa604e8493c666071e5117b9c5e0e28987af02303e8cf7b07432fb3a,bb93fb9f894a9ee6e9d9884314228981f97d86aa6e3c352bcb3b36e21fea8448,0
r3-q8-n65536-current-rep3,current,3,8,8,8,0,65536,65536,2,0.006686928,0.00,0.00,3840,524288,78404911.985108152,9800613.998138519,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,6cc285f46ebfc01ec13b264ce3e7423656cd17d58f72a83dfbf9647dea0e3bb4,355fa9f0aa604e8493c666071e5117b9c5e0e28987af02303e8cf7b07432fb3a,75fac9282744428e006ad473ed911f0df7d38b4427cbc6470c3b64155a0f6a8c,0
r3-q8-n65536-grouped_u-rep3,grouped_u,3,8,8,8,0,65536,65536,2,0.006798868,0.00,0.00,3968,524288,77114013.579702482,9639251.697462810,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,73eb22745e9e2b2df67d7dfae8509a3cb7231ef8099d203f43d2467da86df566,355fa9f0aa604e8493c666071e5117b9c5e0e28987af02303e8cf7b07432fb3a,1cdbb9dc1a160cdbad4c893c91a245381304a72692ecad56879748d4ca0e749f,0
r3-q8-n65536-grouped_uv-rep3,grouped_uv,3,8,8,8,0,65536,65536,2,0.009468101,0.00,0.00,3968,524288,55374145.112480290,6921768.139060036,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,3db8471c84fdf4eae24dc456329f9c987ab3358b102163c77825d99db674dcf7,355fa9f0aa604e8493c666071e5117b9c5e0e28987af02303e8cf7b07432fb3a,bb93fb9f894a9ee6e9d9884314228981f97d86aa6e3c352bcb3b36e21fea8448,0
