r,u
2,0x0000600c
2,0x0000600d
2,0x0000600e
2,0x0000600f
2,0x00006010
2,0x00006020
2,0x00006030
2,0x00006040
2,0x00006050
2,0x00006060
2,0x00006070
2,0x00006080
2,0x00006090
2,0x000060a0
2,0x000060b0
2,0x000060c0
2,0x000060d0
2,0x000060e0
2,0x000060f0
2,0x00006100
2,0x00006200
2,0x00006300
2,0x00006400
2,0x00006500
2,0x00006600
2,0x00006700
2,0x00006800
2,0x00006900
2,0x00006a00
2,0x00006b00
2,0x00006c00
2,0x00006d00
2,0x00006e00
2,0x00007000
2,0x00007001
2,0x00007002
2,0x00007003
2,0x00007004
2,0x00007005
2,0x00007006
2,0x00007007
2,0x00007008
2,0x00007009
2,0x0000700a
2,0x0000700b
2,0x0000700c
2,0x0000700d
2,0x0000700e
2,0x0000700f
2,0x00007010
2,0x00007020
2,0x00007030
2,0x00007040
2,0x00007050
2,0x00007060
2,0x00007070
2,0x00007080
2,0x00007090
2,0x000070a0
2,0x000070b0
2,0x000070c0
2,0x000070d0
2,0x000070e0
2,0x000070f0
2,0x00007100
2,0x00007200
2,0x00007300
2,0x00007400
2,0x00007500
2,0x00007600
2,0x00007700
2,0x00007800
2,0x00007900
2,0x00007a00
2,0x00007b00
2,0x00007c00
2,0x00007d00
2,0x00007e00
2,0x00008000
2,0x00008001
2,0x00008002
2,0x00008003
2,0x00008004
2,0x00008005
2,0x00008006
2,0x00008007
2,0x00008008
2,0x00008009
2,0x0000800a
2,0x0000800b
2,0x0000800c
2,0x0000800d
2,0x0000800e
2,0x0000800f
2,0x00008010
2,0x00008020
2,0x00008030
2,0x00008040
2,0x00008050
2,0x00008060
2,0x00008070
2,0x00008080
2,0x00008090
2,0x000080a0
2,0x000080b0
2,0x000080c0
2,0x000080d0
2,0x000080e0
2,0x000080f0
2,0x00008200
2,0x00008400
2,0x00008600
2,0x00009000
2,0x00009001
2,0x00009002
2,0x00009003
2,0x00009004
2,0x00009005
2,0x00009006
2,0x00009007
2,0x00009008
2,0x00009009
2,0x0000900a
2,0x0000900b
2,0x0000900c
2,0x0000900d
2,0x0000900e
2,0x0000900f
2,0x00009010
2,0x00009020
2,0x00009030
2,0x00009040
2,0x00009050
2,0x00009060
2,0x00009070
2,0x00009080
2,0x00009090
2,0x000090a0
2,0x000090b0
2,0x000090c0
2,0x000090d0
2,0x000090e0
2,0x000090f0
2,0x00009200
2,0x00009400
2,0x00009600
2,0x0000a000
2,0x0000a001
2,0x0000a002
2,0x0000a003
2,0x0000a004
2,0x0000a005
2,0x0000a006
2,0x0000a007
2,0x0000a008
2,0x0000a009
2,0x0000a00a
2,0x0000a00b
2,0x0000a00c
2,0x0000a00d
2,0x0000a00e
2,0x0000a00f
2,0x0000a010
2,0x0000a020
2,0x0000a030
2,0x0000a040
2,0x0000a050
2,0x0000a060
2,0x0000a070
2,0x0000a080
2,0x0000a090
2,0x0000a0a0
2,0x0000a0b0
2,0x0000a0c0
2,0x0000a0d0
2,0x0000a0e0
2,0x0000a0f0
2,0x0000a200
2,0x0000a400
2,0x0000a600
2,0x0000b000
2,0x0000b001
2,0x0000b002
2,0x0000b003
2,0x0000b004
2,0x0000b005
2,0x0000b006
2,0x0000b007
2,0x0000b008
2,0x0000b009
2,0x0000b00a
2,0x0000b00b
2,0x0000b00c
2,0x0000b00d
2,0x0000b00e
2,0x0000b00f
2,0x0000b010
2,0x0000b020
2,0x0000b030
2,0x0000b040
2,0x0000b050
2,0x0000b060
2,0x0000b070
2,0x0000b080
2,0x0000b090
2,0x0000b0a0
2,0x0000b0b0
2,0x0000b0c0
2,0x0000b0d0
2,0x0000b0e0
2,0x0000b0f0
2,0x0000b200
2,0x0000b400
2,0x0000b600
2,0x0000c000
2,0x0000c001
2,0x0000c002
2,0x0000c003
2,0x0000c004
2,0x0000c005
2,0x0000c006
2,0x0000c007
2,0x0000c008
2,0x0000c009
2,0x0000c00a
2,0x0000c00b
2,0x0000c00c
2,0x0000c00d
2,0x0000c00e
2,0x0000c00f
2,0x0000c010
2,0x0000c020
2,0x0000c030
2,0x0000c040
2,0x0000c050
2,0x0000c060
2,0x0000c070
2,0x0000c080
2,0x0000c090
2,0x0000c0a0
2,0x0000c0b0
2,0x0000c0c0
2,0x0000c0d0
2,0x0000c0e0
2,0x0000c0f0
2,0x0000c200
2,0x0000c400
2,0x0000c600
2,0x0000d000
2,0x0000d001
2,0x0000d002
2,0x0000d003
2,0x0000d004
2,0x0000d005
2,0x0000d006
2,0x0000d007
2,0x0000d008
2,0x0000d009
2,0x0000d00a
2,0x0000d00b
2,0x0000d00c
2,0x0000d00d
2,0x0000d00e
2,0x0000d00f
2,0x0000d010
2,0x0000d020
2,0x0000d030
2,0x0000d040
2,0x0000d050
2,0x0000d060
2,0x0000d070
2,0x0000d080
2,0x0000d090
2,0x0000d0a0
2,0x0000d0b0
2,0x0000d0c0
2,0x0000d0d0
2,0x0000d0e0
2,0x0000d0f0
2,0x0000d200
2,0x0000d400
2,0x0000d600
2,0x0000e000
2,0x0000e001
2,0x0000e002
2,0x0000e003
2,0x0000e004
2,0x0000e005
2,0x0000e006
2,0x0000e007
2,0x0000e008
2,0x0000e009
2,0x0000e00a
2,0x0000e00b
2,0x0000e00c
2,0x0000e00d
2,0x0000e00e
2,0x0000e00f
2,0x0000e010
2,0x0000e020
2,0x0000e030
2,0x0000e040
2,0x0000e050
2,0x0000e060
2,0x0000e070
2,0x0000e080
2,0x0000e090
2,0x0000e0a0
2,0x0000e0b0
2,0x0000e0c0
2,0x0000e0d0
2,0x0000e0e0
2,0x0000e0f0
2,0x0000e200
2,0x0000e400
2,0x0000e600
2,0x0000f000
2,0x0000f001
2,0x0000f002
2,0x0000f003
2,0x0000f004
2,0x0000f005
2,0x0000f006
2,0x0000f007
2,0x0000f008
2,0x0000f009
2,0x0000f00a
2,0x0000f00b
2,0x0000f00c
2,0x0000f00d
2,0x0000f00e
2,0x0000f00f
2,0x0000f010
2,0x0000f020
2,0x0000f030
2,0x0000f040
2,0x0000f050
2,0x0000f060
2,0x0000f070
2,0x0000f080
2,0x0000f090
2,0x0000f0a0
2,0x0000f0b0
2,0x0000f0c0
2,0x0000f0d0
2,0x0000f0e0
2,0x0000f0f0
2,0x0000f200
2,0x0000f400
2,0x0000f600
2,0x00010000
2,0x00010010
2,0x00010030
2,0x00010040
2,0x00010050
2,0x00010060
2,0x00010080
2,0x00010090
2,0x000100a0
2,0x000100b0
2,0x000100c0
2,0x000100d0
2,0x000100e0
2,0x00011000
2,0x00012000
2,0x00013000
2,0x00014000
2,0x00015000
2,0x00016000
2,0x00017000
2,0x00018000
2,0x00019000
2,0x0001a000
2,0x0001b000
2,0x0001c000
2,0x0001d000
2,0x0001e000
2,0x0001f000
2,0x00020000
2,0x00020020
2,0x00020040
2,0x00020060
2,0x00020090
2,0x000200b0
2,0x000200d0
2,0x000200f0
2,0x00021000
2,0x00022000
2,0x00023000
2,0x00024000
2,0x00025000
2,0x00026000
2,0x00027000
2,0x00028000
2,0x00029000
2,0x0002a000
2,0x0002b000
2,0x0002c000
2,0x0002d000
2,0x0002e000
2,0x0002f000
2,0x00030000
2,0x00030010
2,0x00030030
2,0x00030040
2,0x00030060
2,0x00030080
2,0x00030090
2,0x000300a0
2,0x000300b0
2,0x000300c0
2,0x000300d0
2,0x000300e0
2,0x00031000
2,0x00032000
