run_id,implementation,query_family,query_profile,seed,order,semantic_query_sha256,r,Q,unique_u,unique_v,domain_start,domain_end,plaintext_count,threads,wall_seconds,process_wall_seconds,user_cpu_seconds,system_cpu_seconds,peak_rss_kib,timing_metric_origin,logical_query_updates,query_updates_per_second,plaintexts_per_second,u_parity_evaluations,v_parity_evaluations,permutation_evaluations,counter_metric_origin,program_commit,program_sha256,input_sha256,output_sha256,compiler_id,compiler_version,compiler_flags,cpu_model,ram_bytes,numa,kernel,cpu_affinity,timeout_seconds,max_rss_kib,submit_sha256,exit_status
r3-q64-n65536-t8-canonical-current-rep1,current,frozen-subset,uv_core,stage-a0-v1,canonical,a26befc0dbad8a536a320d16747c5524121ee0794392287d89fa0989b0304470,3,64,20,59,0,65536,65536,8,0.009654752,0.00,0.00,0.00,3968,MEASURED,4194304,434428969.136582911,6787952.642759108,4194304,4194304,65536,DETERMINISTIC_ALGORITHMIC_COUNT,1e4f62f5223445c0e27e53a065ebd2877429fd73,293cebcd6caf6c7f16ed884339dfcee707e5d4dbdd03129fa3539c589a416970,f876b1d2a00ac6004c5bbb35389d6257cfb196cdbb34cb5cf11e80ef70f7b332,e4dbbd0e8669b63ff01e1742b82e1e18adbe7440fe084587ff1379cecb7be33a,gcc,g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,-O3 -std=c++17 -Wall -Wextra -pedantic -pthread,Intel(R) Core(TM) i7-14650HX,8328015872,1-node,6.6.87.2-microsoft-standard-WSL2,unbound,120.0,1048576,7b0f638ba8678462ee8d6c12bc0c5b89d7354b4a095b31330f3ba495acfe2e2e,0
r3-q64-n65536-t8-canonical-grouped_u-rep1,grouped_u,frozen-subset,uv_core,stage-a0-v1,canonical,a26befc0dbad8a536a320d16747c5524121ee0794392287d89fa0989b0304470,3,64,20,59,0,65536,65536,8,0.009461078,0.00,0.00,0.00,4096,MEASURED,4194304,443321993.348594189,6926906.146071784,1310720,4194304,65536,DETERMINISTIC_ALGORITHMIC_COUNT,1e4f62f5223445c0e27e53a065ebd2877429fd73,a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943,f876b1d2a00ac6004c5bbb35389d6257cfb196cdbb34cb5cf11e80ef70f7b332,fd7a094c455eaf7dd66996fad6a6e57ad3ea2317906687386e260810f71bd6e0,gcc,g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,-O3 -std=c++17 -Wall -Wextra -pedantic -pthread,Intel(R) Core(TM) i7-14650HX,8328015872,1-node,6.6.87.2-microsoft-standard-WSL2,unbound,120.0,1048576,7b0f638ba8678462ee8d6c12bc0c5b89d7354b4a095b31330f3ba495acfe2e2e,0
r3-q64-n65536-t8-canonical-grouped_uv-rep1,grouped_uv,frozen-subset,uv_core,stage-a0-v1,canonical,a26befc0dbad8a536a320d16747c5524121ee0794392287d89fa0989b0304470,3,64,20,59,0,65536,65536,8,0.010004812,0.00,0.00,0.00,4096,MEASURED,4194304,419228665.630005538,6550447.900468837,1310720,3866624,65536,DETERMINISTIC_ALGORITHMIC_COUNT,1e4f62f5223445c0e27e53a065ebd2877429fd73,36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca,f876b1d2a00ac6004c5bbb35389d6257cfb196cdbb34cb5cf11e80ef70f7b332,92f01f7d1c090e5c3c99cde9dbf1a97f76beaf41f3a5f45cb61cf6690a1313a4,gcc,g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,-O3 -std=c++17 -Wall -Wextra -pedantic -pthread,Intel(R) Core(TM) i7-14650HX,8328015872,1-node,6.6.87.2-microsoft-standard-WSL2,unbound,120.0,1048576,7b0f638ba8678462ee8d6c12bc0c5b89d7354b4a095b31330f3ba495acfe2e2e,0
