run_id,implementation,query_family,query_profile,seed,order,semantic_query_sha256,r,Q,unique_u,unique_v,domain_start,domain_end,plaintext_count,threads,wall_seconds,process_wall_seconds,user_cpu_seconds,system_cpu_seconds,peak_rss_kib,timing_metric_origin,logical_query_updates,query_updates_per_second,plaintexts_per_second,u_parity_evaluations,v_parity_evaluations,permutation_evaluations,counter_metric_origin,program_commit,program_sha256,input_sha256,output_sha256,compiler_id,compiler_version,compiler_flags,cpu_model,ram_bytes,numa,kernel,cpu_affinity,timeout_seconds,max_rss_kib,submit_sha256,exit_status
r3-q64-n65536-t8-shuffled-current-rep1,current,frozen-subset,uv_core,stage-a0-v1,shuffled,a26befc0dbad8a536a320d16747c5524121ee0794392287d89fa0989b0304470,3,64,20,59,0,65536,65536,8,0.016111406,0.01,0.03,0.00,3968,MEASURED,4194304,260331344.866514772,4067677.263539293,4194304,4194304,65536,DETERMINISTIC_ALGORITHMIC_COUNT,1e4f62f5223445c0e27e53a065ebd2877429fd73,293cebcd6caf6c7f16ed884339dfcee707e5d4dbdd03129fa3539c589a416970,c835df39da2c985ed7f9b8a1c74acdea365e1b805c95fe953e7d8318a4e3a375,f36366c991ee4b2bd4e4db5490afa3a92f1db5b3dde1608ee629679095833058,gcc,g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,-O3 -std=c++17 -Wall -Wextra -pedantic -pthread,Intel(R) Core(TM) i7-14650HX,8328015872,1-node,6.6.87.2-microsoft-standard-WSL2,unbound,120.0,1048576,7b0f638ba8678462ee8d6c12bc0c5b89d7354b4a095b31330f3ba495acfe2e2e,0
r3-q64-n65536-t8-shuffled-grouped_u-rep1,grouped_u,frozen-subset,uv_core,stage-a0-v1,shuffled,a26befc0dbad8a536a320d16747c5524121ee0794392287d89fa0989b0304470,3,64,20,59,0,65536,65536,8,0.014457805,0.01,0.03,0.00,4096,MEASURED,4194304,290106555.588868499,4532914.931076070,1310720,4194304,65536,DETERMINISTIC_ALGORITHMIC_COUNT,1e4f62f5223445c0e27e53a065ebd2877429fd73,a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943,c835df39da2c985ed7f9b8a1c74acdea365e1b805c95fe953e7d8318a4e3a375,b7b85c7191c25d69f489abfa78ed6d10af5f5469c914dfc65c2c864af8a308c0,gcc,g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,-O3 -std=c++17 -Wall -Wextra -pedantic -pthread,Intel(R) Core(TM) i7-14650HX,8328015872,1-node,6.6.87.2-microsoft-standard-WSL2,unbound,120.0,1048576,7b0f638ba8678462ee8d6c12bc0c5b89d7354b4a095b31330f3ba495acfe2e2e,0
r3-q64-n65536-t8-shuffled-grouped_uv-rep1,grouped_uv,frozen-subset,uv_core,stage-a0-v1,shuffled,a26befc0dbad8a536a320d16747c5524121ee0794392287d89fa0989b0304470,3,64,20,59,0,65536,65536,8,0.013381621,0.01,0.03,0.00,3968,MEASURED,4194304,313437662.339913547,4897463.474061149,1310720,3866624,65536,DETERMINISTIC_ALGORITHMIC_COUNT,1e4f62f5223445c0e27e53a065ebd2877429fd73,36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca,c835df39da2c985ed7f9b8a1c74acdea365e1b805c95fe953e7d8318a4e3a375,2aff226fbcd73fd3791be189b6dbe7c0f3f6d7d64d3a6919162f4feab32ac3d9,gcc,g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,-O3 -std=c++17 -Wall -Wextra -pedantic -pthread,Intel(R) Core(TM) i7-14650HX,8328015872,1-node,6.6.87.2-microsoft-standard-WSL2,unbound,120.0,1048576,7b0f638ba8678462ee8d6c12bc0c5b89d7354b4a095b31330f3ba495acfe2e2e,0
