run_id,implementation,query_family,query_profile,seed,order,semantic_query_sha256,r,Q,unique_u,unique_v,domain_start,domain_end,plaintext_count,threads,wall_seconds,process_wall_seconds,user_cpu_seconds,system_cpu_seconds,peak_rss_kib,timing_metric_origin,logical_query_updates,query_updates_per_second,plaintexts_per_second,u_parity_evaluations,v_parity_evaluations,permutation_evaluations,counter_metric_origin,program_commit,program_sha256,input_sha256,output_sha256,compiler_id,compiler_version,compiler_flags,cpu_model,ram_bytes,numa,kernel,cpu_affinity,timeout_seconds,max_rss_kib,submit_sha256,exit_status
r3-q64-n65536-t8-shuffled-current-rep1,current,uniform,sha-order,stage-a0-v1,shuffled,133671a89693c9f0f7958b70221c98a0846c684bad8c1952677d23648a9813ca,3,64,64,64,0,65536,65536,8,0.010311428,0.00,0.01,0.00,3840,MEASURED,4194304,406762671.796796381,6355666.746824943,4194304,4194304,65536,DETERMINISTIC_ALGORITHMIC_COUNT,1e4f62f5223445c0e27e53a065ebd2877429fd73,293cebcd6caf6c7f16ed884339dfcee707e5d4dbdd03129fa3539c589a416970,3a85f2906c2b05e5e908454822884d38fef563b920f4050eef686df3aae9f22a,2cb2cf710970954ccf6de19b3cebc10a5e33ea2c69e835d1d7a31254da53ca7b,gcc,g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,-O3 -std=c++17 -Wall -Wextra -pedantic -pthread,Intel(R) Core(TM) i7-14650HX,8328015872,1-node,6.6.87.2-microsoft-standard-WSL2,unbound,120.0,1048576,7b0f638ba8678462ee8d6c12bc0c5b89d7354b4a095b31330f3ba495acfe2e2e,0
r3-q64-n65536-t8-shuffled-grouped_u-rep1,grouped_u,uniform,sha-order,stage-a0-v1,shuffled,133671a89693c9f0f7958b70221c98a0846c684bad8c1952677d23648a9813ca,3,64,64,64,0,65536,65536,8,0.013106529,0.01,0.02,0.00,4096,MEASURED,4194304,320016382.214570522,5000255.972102664,4194304,4194304,65536,DETERMINISTIC_ALGORITHMIC_COUNT,1e4f62f5223445c0e27e53a065ebd2877429fd73,a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943,3a85f2906c2b05e5e908454822884d38fef563b920f4050eef686df3aae9f22a,22799f3afeb55ef9d21b9be24dc7caa9bd4e00df5a1292711d59328c244cec76,gcc,g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,-O3 -std=c++17 -Wall -Wextra -pedantic -pthread,Intel(R) Core(TM) i7-14650HX,8328015872,1-node,6.6.87.2-microsoft-standard-WSL2,unbound,120.0,1048576,7b0f638ba8678462ee8d6c12bc0c5b89d7354b4a095b31330f3ba495acfe2e2e,0
r3-q64-n65536-t8-shuffled-grouped_uv-rep1,grouped_uv,uniform,sha-order,stage-a0-v1,shuffled,133671a89693c9f0f7958b70221c98a0846c684bad8c1952677d23648a9813ca,3,64,64,64,0,65536,65536,8,0.012505724,0.01,0.02,0.00,4096,MEASURED,4194304,335390738.452796638,5240480.288324947,4194304,4194304,65536,DETERMINISTIC_ALGORITHMIC_COUNT,1e4f62f5223445c0e27e53a065ebd2877429fd73,36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca,3a85f2906c2b05e5e908454822884d38fef563b920f4050eef686df3aae9f22a,b7aa4798f369fd7030db72aaeeaaf5414ecc63470be104446668c09924018de3,gcc,g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,-O3 -std=c++17 -Wall -Wextra -pedantic -pthread,Intel(R) Core(TM) i7-14650HX,8328015872,1-node,6.6.87.2-microsoft-standard-WSL2,unbound,120.0,1048576,7b0f638ba8678462ee8d6c12bc0c5b89d7354b4a095b31330f3ba495acfe2e2e,0
