row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ022529,2,0x000b00b0,0x03330300,335544320,32,"335544320/2^32","335544320"
FQ022530,2,0x000b00b0,0x08880800,536870912,32,"536870912/2^32","536870912"
FQ022531,2,0x000b00b0,0x0bbb0b00,335544320,32,"335544320/2^32","335544320"
FQ022532,2,0x000b00b0,0x0ccc0c00,671088640,32,"671088640/2^32","671088640"
FQ022533,2,0x000b00b0,0x2cce0c00,335544320,32,"335544320/2^32","335544320"
FQ022534,2,0x000b00b0,0x4cc80c00,536870912,32,"536870912/2^32","536870912"
FQ022535,2,0x000b00b0,0x7ccb0c00,335544320,32,"335544320/2^32","335544320"
FQ022536,2,0x000b00b0,0xacc60c00,-335544320,32,"-335544320/2^32","-335544320"
FQ022537,2,0x000b00b0,0xfcc30c00,335544320,32,"335544320/2^32","335544320"
