run_id,implementation,query_family,query_profile,seed,order,semantic_query_sha256,r,Q,unique_u,unique_v,domain_start,domain_end,plaintext_count,threads,wall_seconds,process_wall_seconds,user_cpu_seconds,system_cpu_seconds,peak_rss_kib,timing_metric_origin,logical_query_updates,query_updates_per_second,plaintexts_per_second,u_parity_evaluations,v_parity_evaluations,permutation_evaluations,counter_metric_origin,program_commit,program_sha256,input_sha256,output_sha256,compiler_id,compiler_version,compiler_flags,cpu_model,ram_bytes,numa,kernel,cpu_affinity,timeout_seconds,max_rss_kib,submit_sha256,exit_status
r2-q512-n131072-t8-canonical-current-rep1,current,frozen-subset,uv_core,stage-a1-v1,canonical,bfea38f73332aa60ea4cb0a68ddf81b428c617eef80253a0254428b5b9e1b802,2,512,94,438,0,131072,131072,8,0.028901833,0.02,0.16,0.00,3968,MEASURED,67108864,2321958749.672495842,4535075.682954093,67108864,67108864,131072,DETERMINISTIC_ALGORITHMIC_COUNT,d0d9813304cc8391689edeb612d095b31fc431c2,293cebcd6caf6c7f16ed884339dfcee707e5d4dbdd03129fa3539c589a416970,bc1eb558ff1d62cfff97d059520188f0023d185152c7a51658514138a91148fb,e75700a6429c39e3c63d1987d899edd65d88b9c9815a242f818d4f4db6e9bbaf,gcc,g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,-O3 -std=c++17 -Wall -Wextra -pedantic -pthread,Intel(R) Core(TM) i7-14650HX,8328015872,1-node,6.6.87.2-microsoft-standard-WSL2,unbound,600.0,2097152,7b0f638ba8678462ee8d6c12bc0c5b89d7354b4a095b31330f3ba495acfe2e2e,0
r2-q512-n131072-t8-canonical-grouped_u-rep1,grouped_u,frozen-subset,uv_core,stage-a1-v1,canonical,bfea38f73332aa60ea4cb0a68ddf81b428c617eef80253a0254428b5b9e1b802,2,512,94,438,0,131072,131072,8,0.033970769,0.03,0.18,0.00,3840,MEASURED,67108864,1975488513.153535128,3858376.002252998,12320768,67108864,131072,DETERMINISTIC_ALGORITHMIC_COUNT,d0d9813304cc8391689edeb612d095b31fc431c2,a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943,bc1eb558ff1d62cfff97d059520188f0023d185152c7a51658514138a91148fb,9d4e03e8d3ff92ed3de20b4275c917d11507477bf2d2e3c391ac8ddac12a8bb2,gcc,g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,-O3 -std=c++17 -Wall -Wextra -pedantic -pthread,Intel(R) Core(TM) i7-14650HX,8328015872,1-node,6.6.87.2-microsoft-standard-WSL2,unbound,600.0,2097152,7b0f638ba8678462ee8d6c12bc0c5b89d7354b4a095b31330f3ba495acfe2e2e,0
r2-q512-n131072-t8-canonical-grouped_uv-rep1,grouped_uv,frozen-subset,uv_core,stage-a1-v1,canonical,bfea38f73332aa60ea4cb0a68ddf81b428c617eef80253a0254428b5b9e1b802,2,512,94,438,0,131072,131072,8,0.046007603,0.04,0.21,0.00,4096,MEASURED,67108864,1458647256.973899841,2848920.423777148,12320768,57409536,131072,DETERMINISTIC_ALGORITHMIC_COUNT,d0d9813304cc8391689edeb612d095b31fc431c2,36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca,bc1eb558ff1d62cfff97d059520188f0023d185152c7a51658514138a91148fb,2dd4ec4ecd481149319d119f56433fb01a5101ba03f7f8665cd3af7302b5206c,gcc,g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,-O3 -std=c++17 -Wall -Wextra -pedantic -pthread,Intel(R) Core(TM) i7-14650HX,8328015872,1-node,6.6.87.2-microsoft-standard-WSL2,unbound,600.0,2097152,7b0f638ba8678462ee8d6c12bc0c5b89d7354b4a095b31330f3ba495acfe2e2e,0
