run_id,implementation,query_family,query_profile,seed,order,semantic_query_sha256,r,Q,unique_u,unique_v,domain_start,domain_end,plaintext_count,threads,wall_seconds,process_wall_seconds,user_cpu_seconds,system_cpu_seconds,peak_rss_kib,timing_metric_origin,logical_query_updates,query_updates_per_second,plaintexts_per_second,u_parity_evaluations,v_parity_evaluations,permutation_evaluations,counter_metric_origin,program_commit,program_sha256,input_sha256,output_sha256,compiler_id,compiler_version,compiler_flags,cpu_model,ram_bytes,numa,kernel,cpu_affinity,timeout_seconds,max_rss_kib,submit_sha256,exit_status
r1-q8-n4194304-t8-canonical-current-rep1,current,frozen-subset,uv_core,stage-a1-v1,canonical,2964ebcf43f583682117de6f3f18ef3c4a4f542d6e748eec84ff4c67d03072d5,1,8,6,6,0,4194304,4194304,8,0.043268280,0.04,0.20,0.00,3968,MEASURED,33554432,775497246.707774520,96937155.838471815,33554432,33554432,4194304,DETERMINISTIC_ALGORITHMIC_COUNT,d0d9813304cc8391689edeb612d095b31fc431c2,293cebcd6caf6c7f16ed884339dfcee707e5d4dbdd03129fa3539c589a416970,be4017798e3224b31f62a5990612f057ff3fa8a52930be15381f93bfee1d35e6,9dd0751f5279ae9e6cc8c8eb4feb42eb6ea34ab95fda5b4cb057e0c033f919f5,gcc,g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,-O3 -std=c++17 -Wall -Wextra -pedantic -pthread,Intel(R) Core(TM) i7-14650HX,8328015872,1-node,6.6.87.2-microsoft-standard-WSL2,unbound,600.0,2097152,7b0f638ba8678462ee8d6c12bc0c5b89d7354b4a095b31330f3ba495acfe2e2e,0
r1-q8-n4194304-t8-canonical-grouped_u-rep1,grouped_u,frozen-subset,uv_core,stage-a1-v1,canonical,2964ebcf43f583682117de6f3f18ef3c4a4f542d6e748eec84ff4c67d03072d5,1,8,6,6,0,4194304,4194304,8,0.050699788,0.04,0.22,0.00,3968,MEASURED,33554432,661825883.386430979,82728235.423303872,25165824,33554432,4194304,DETERMINISTIC_ALGORITHMIC_COUNT,d0d9813304cc8391689edeb612d095b31fc431c2,a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943,be4017798e3224b31f62a5990612f057ff3fa8a52930be15381f93bfee1d35e6,df88df7621d0dd6e55eba14b3643df64a1becfe0274ffdd4381e5c07998b5a78,gcc,g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,-O3 -std=c++17 -Wall -Wextra -pedantic -pthread,Intel(R) Core(TM) i7-14650HX,8328015872,1-node,6.6.87.2-microsoft-standard-WSL2,unbound,600.0,2097152,7b0f638ba8678462ee8d6c12bc0c5b89d7354b4a095b31330f3ba495acfe2e2e,0
r1-q8-n4194304-t8-canonical-grouped_uv-rep1,grouped_uv,frozen-subset,uv_core,stage-a1-v1,canonical,2964ebcf43f583682117de6f3f18ef3c4a4f542d6e748eec84ff4c67d03072d5,1,8,6,6,0,4194304,4194304,8,0.046599164,0.04,0.21,0.00,4096,MEASURED,33554432,720065106.391015172,90008138.298876897,25165824,25165824,4194304,DETERMINISTIC_ALGORITHMIC_COUNT,d0d9813304cc8391689edeb612d095b31fc431c2,36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca,be4017798e3224b31f62a5990612f057ff3fa8a52930be15381f93bfee1d35e6,2e0498dc95975a2ae055a9b5639700ec8a6da642e531e8a7045a6254ea3dac0d,gcc,g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,-O3 -std=c++17 -Wall -Wextra -pedantic -pthread,Intel(R) Core(TM) i7-14650HX,8328015872,1-node,6.6.87.2-microsoft-standard-WSL2,unbound,600.0,2097152,7b0f638ba8678462ee8d6c12bc0c5b89d7354b4a095b31330f3ba495acfe2e2e,0
