run_id,implementation,query_family,query_profile,seed,order,semantic_query_sha256,r,Q,unique_u,unique_v,domain_start,domain_end,plaintext_count,threads,wall_seconds,process_wall_seconds,user_cpu_seconds,system_cpu_seconds,peak_rss_kib,timing_metric_origin,logical_query_updates,query_updates_per_second,plaintexts_per_second,u_parity_evaluations,v_parity_evaluations,permutation_evaluations,counter_metric_origin,program_commit,program_sha256,input_sha256,output_sha256,compiler_id,compiler_version,compiler_flags,cpu_model,ram_bytes,numa,kernel,cpu_affinity,timeout_seconds,max_rss_kib,submit_sha256,exit_status
r3-q4096-n16384-t8-canonical-current-rep1,current,frozen-subset,uv_core,stage-a1-v1,canonical,31e199aa417f28f03d5b738b3a87d3da4c8b7d64e354a4d6b2870dfe471e141a,3,4096,90,3420,0,16384,16384,8,0.071177529,0.07,0.44,0.00,4236,MEASURED,67108864,942837788.850373149,230185.007043548,67108864,67108864,16384,DETERMINISTIC_ALGORITHMIC_COUNT,d0d9813304cc8391689edeb612d095b31fc431c2,293cebcd6caf6c7f16ed884339dfcee707e5d4dbdd03129fa3539c589a416970,a2d0f0a0a3a765aba6a5f61e8cef2053c30eadc0fa9fb01073d7f29791701d96,70ade6a20c6834241cc7f7ed0c1d7ada01e3f9b5d2fc8ca7e43e259cf4102a6c,gcc,g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,-O3 -std=c++17 -Wall -Wextra -pedantic -pthread,Intel(R) Core(TM) i7-14650HX,8328015872,1-node,6.6.87.2-microsoft-standard-WSL2,unbound,600.0,2097152,7b0f638ba8678462ee8d6c12bc0c5b89d7354b4a095b31330f3ba495acfe2e2e,0
r3-q4096-n16384-t8-canonical-grouped_u-rep1,grouped_u,frozen-subset,uv_core,stage-a1-v1,canonical,31e199aa417f28f03d5b738b3a87d3da4c8b7d64e354a4d6b2870dfe471e141a,3,4096,90,3420,0,16384,16384,8,0.076957751,0.07,0.36,0.00,4364,MEASURED,67108864,872022157.253604174,212896.034485743,1474560,67108864,16384,DETERMINISTIC_ALGORITHMIC_COUNT,d0d9813304cc8391689edeb612d095b31fc431c2,a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943,a2d0f0a0a3a765aba6a5f61e8cef2053c30eadc0fa9fb01073d7f29791701d96,86a8274cd39771a1ea8c19251c705b2c0ac94f2fb84349aa42044c3c2b510a19,gcc,g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,-O3 -std=c++17 -Wall -Wextra -pedantic -pthread,Intel(R) Core(TM) i7-14650HX,8328015872,1-node,6.6.87.2-microsoft-standard-WSL2,unbound,600.0,2097152,7b0f638ba8678462ee8d6c12bc0c5b89d7354b4a095b31330f3ba495acfe2e2e,0
r3-q4096-n16384-t8-canonical-grouped_uv-rep1,grouped_uv,frozen-subset,uv_core,stage-a1-v1,canonical,31e199aa417f28f03d5b738b3a87d3da4c8b7d64e354a4d6b2870dfe471e141a,3,4096,90,3420,0,16384,16384,8,0.082314013,0.08,0.37,0.01,4224,MEASURED,67108864,815278731.023215413,199042.658941215,1474560,56033280,16384,DETERMINISTIC_ALGORITHMIC_COUNT,d0d9813304cc8391689edeb612d095b31fc431c2,36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca,a2d0f0a0a3a765aba6a5f61e8cef2053c30eadc0fa9fb01073d7f29791701d96,2087517f3d620016037575eb7e42b25ed11be470cdcba69ca670d5efc4514209,gcc,g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,-O3 -std=c++17 -Wall -Wextra -pedantic -pthread,Intel(R) Core(TM) i7-14650HX,8328015872,1-node,6.6.87.2-microsoft-standard-WSL2,unbound,600.0,2097152,7b0f638ba8678462ee8d6c12bc0c5b89d7354b4a095b31330f3ba495acfe2e2e,0
