run_id,implementation,query_family,query_profile,seed,order,semantic_query_sha256,r,Q,unique_u,unique_v,domain_start,domain_end,plaintext_count,threads,wall_seconds,process_wall_seconds,user_cpu_seconds,system_cpu_seconds,peak_rss_kib,timing_metric_origin,logical_query_updates,query_updates_per_second,plaintexts_per_second,u_parity_evaluations,v_parity_evaluations,permutation_evaluations,counter_metric_origin,program_commit,program_sha256,input_sha256,output_sha256,compiler_id,compiler_version,compiler_flags,cpu_model,ram_bytes,numa,kernel,cpu_affinity,timeout_seconds,max_rss_kib,submit_sha256,exit_status
r3-q512-n131072-t8-canonical-current-rep1,current,uniform,sha-order,stage-a1-v1,canonical,7fd96b42f5c199ed3c8e7ec032ae058862f6c7fa11fdab5d51cd70adebc01ccf,3,512,512,512,0,131072,131072,8,0.094317695,0.09,0.45,0.00,3840,MEASURED,67108864,711519338.902682185,1389686.208794301,67108864,67108864,131072,DETERMINISTIC_ALGORITHMIC_COUNT,d0d9813304cc8391689edeb612d095b31fc431c2,293cebcd6caf6c7f16ed884339dfcee707e5d4dbdd03129fa3539c589a416970,4489dacf5e62629d6f8ea5ed37dc569f74db6dfa32e9ad32aa33aec60076def6,91a306a994ee778e8b0e9d3fffbe173d816a1a677c8ac174ed29d04bb6003882,gcc,g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,-O3 -std=c++17 -Wall -Wextra -pedantic -pthread,Intel(R) Core(TM) i7-14650HX,8328015872,1-node,6.6.87.2-microsoft-standard-WSL2,unbound,600.0,2097152,7b0f638ba8678462ee8d6c12bc0c5b89d7354b4a095b31330f3ba495acfe2e2e,0
r3-q512-n131072-t8-canonical-grouped_u-rep1,grouped_u,uniform,sha-order,stage-a1-v1,canonical,7fd96b42f5c199ed3c8e7ec032ae058862f6c7fa11fdab5d51cd70adebc01ccf,3,512,512,512,0,131072,131072,8,0.097589737,0.09,0.48,0.00,3840,MEASURED,67108864,687663129.724605799,1343092.050243371,67108864,67108864,131072,DETERMINISTIC_ALGORITHMIC_COUNT,d0d9813304cc8391689edeb612d095b31fc431c2,a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943,4489dacf5e62629d6f8ea5ed37dc569f74db6dfa32e9ad32aa33aec60076def6,09d35e58da05be9ba142f8e8b9f3258315ae52490c53e595ab29615a1ed27d51,gcc,g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,-O3 -std=c++17 -Wall -Wextra -pedantic -pthread,Intel(R) Core(TM) i7-14650HX,8328015872,1-node,6.6.87.2-microsoft-standard-WSL2,unbound,600.0,2097152,7b0f638ba8678462ee8d6c12bc0c5b89d7354b4a095b31330f3ba495acfe2e2e,0
r3-q512-n131072-t8-canonical-grouped_uv-rep1,grouped_uv,uniform,sha-order,stage-a1-v1,canonical,7fd96b42f5c199ed3c8e7ec032ae058862f6c7fa11fdab5d51cd70adebc01ccf,3,512,512,512,0,131072,131072,8,0.097638522,0.09,0.50,0.00,3968,MEASURED,67108864,687319539.424808264,1342420.975439079,67108864,67108864,131072,DETERMINISTIC_ALGORITHMIC_COUNT,d0d9813304cc8391689edeb612d095b31fc431c2,36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca,4489dacf5e62629d6f8ea5ed37dc569f74db6dfa32e9ad32aa33aec60076def6,2b95626c2aa9c35190eea26e0b501e7199b70eeaee3a1a7bbd78b7bbf0bb54e6,gcc,g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,-O3 -std=c++17 -Wall -Wextra -pedantic -pthread,Intel(R) Core(TM) i7-14650HX,8328015872,1-node,6.6.87.2-microsoft-standard-WSL2,unbound,600.0,2097152,7b0f638ba8678462ee8d6c12bc0c5b89d7354b4a095b31330f3ba495acfe2e2e,0
